Global warming,Public speaking,writing skills,Acting,Own business,Risk,Event maNot Applicablegement,Gaming,Robotics,Social,Photography,Sport,Suggestion
1,1,1,1,1,1,1,1,1,1,1,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUGRS, IUCSR, IUPS, IUSS"
1,1,1,1,1,1,1,1,1,1,1,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUGRS, IUCSR, IUPS"
1,1,1,1,1,1,1,1,1,1,0,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUGRS, IUCSR, IUSS"
1,1,1,1,1,1,1,1,1,1,0,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUGRS, IUCSR"
1,1,1,1,1,1,1,1,1,0,1,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUGRS, IUPS, IUSS"
1,1,1,1,1,1,1,1,1,0,1,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUGRS, IUPS"
1,1,1,1,1,1,1,1,1,0,0,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUGRS, IUSS"
1,1,1,1,1,1,1,1,1,0,0,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUGRS"
1,1,1,1,1,1,1,1,0,1,1,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,1,1,1,1,0,1,1,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR, IUPS"
1,1,1,1,1,1,1,1,0,1,0,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR, IUSS"
1,1,1,1,1,1,1,1,0,1,0,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR"
1,1,1,1,1,1,1,1,0,0,1,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUPS, IUSS"
1,1,1,1,1,1,1,1,0,0,1,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUPS"
1,1,1,1,1,1,1,1,0,0,0,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUSS"
1,1,1,1,1,1,1,1,0,0,0,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety"
1,1,1,1,1,1,1,0,1,1,1,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,1,1,1,0,1,1,1,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR, IUPS"
1,1,1,1,1,1,1,0,1,1,0,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR, IUSS"
1,1,1,1,1,1,1,0,1,1,0,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR"
1,1,1,1,1,1,1,0,1,0,1,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUPS, IUSS"
1,1,1,1,1,1,1,0,1,0,1,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUPS"
1,1,1,1,1,1,1,0,1,0,0,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUSS"
1,1,1,1,1,1,1,0,1,0,0,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety"
1,1,1,1,1,1,1,0,0,1,1,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,1,1,1,0,0,1,1,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR, IUPS"
1,1,1,1,1,1,1,0,0,1,0,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR, IUSS"
1,1,1,1,1,1,1,0,0,1,0,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUCSR"
1,1,1,1,1,1,1,0,0,0,1,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUPS, IUSS"
1,1,1,1,1,1,1,0,0,0,1,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUPS"
1,1,1,1,1,1,1,0,0,0,0,1,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety, IUSS"
1,1,1,1,1,1,1,0,0,0,0,0,"IUCCS, IUDLS, IUDS, IUES, IUEventSociety"
1,1,1,1,1,1,0,1,1,1,1,1,"IUCCS, IUDLS, IUDS, IUES, IUGRS, IUCSR, IUPS, IUSS"
1,1,1,1,1,1,0,1,1,1,1,0,"IUCCS, IUDLS, IUDS, IUES, IUGRS, IUCSR, IUPS"
1,1,1,1,1,1,0,1,1,1,0,1,"IUCCS, IUDLS, IUDS, IUES, IUGRS, IUCSR, IUSS"
1,1,1,1,1,1,0,1,1,1,0,0,"IUCCS, IUDLS, IUDS, IUES, IUGRS, IUCSR"
1,1,1,1,1,1,0,1,1,0,1,1,"IUCCS, IUDLS, IUDS, IUES, IUGRS, IUPS, IUSS"
1,1,1,1,1,1,0,1,1,0,1,0,"IUCCS, IUDLS, IUDS, IUES, IUGRS, IUPS"
1,1,1,1,1,1,0,1,1,0,0,1,"IUCCS, IUDLS, IUDS, IUES, IUGRS, IUSS"
1,1,1,1,1,1,0,1,1,0,0,0,"IUCCS, IUDLS, IUDS, IUES, IUGRS"
1,1,1,1,1,1,0,1,0,1,1,1,"IUCCS, IUDLS, IUDS, IUES, IUCSR, IUPS, IUSS"
1,1,1,1,1,1,0,1,0,1,1,0,"IUCCS, IUDLS, IUDS, IUES, IUCSR, IUPS"
1,1,1,1,1,1,0,1,0,1,0,1,"IUCCS, IUDLS, IUDS, IUES, IUCSR, IUSS"
1,1,1,1,1,1,0,1,0,1,0,0,"IUCCS, IUDLS, IUDS, IUES, IUCSR"
1,1,1,1,1,1,0,1,0,0,1,1,"IUCCS, IUDLS, IUDS, IUES, IUPS, IUSS"
1,1,1,1,1,1,0,1,0,0,1,0,"IUCCS, IUDLS, IUDS, IUES, IUPS"
1,1,1,1,1,1,0,1,0,0,0,1,"IUCCS, IUDLS, IUDS, IUES, IUSS"
1,1,1,1,1,1,0,1,0,0,0,0,"IUCCS, IUDLS, IUDS, IUES"
1,1,1,1,1,1,0,0,1,1,1,1,"IUCCS, IUDLS, IUDS, IUES, IUCSR, IUPS, IUSS"
1,1,1,1,1,1,0,0,1,1,1,0,"IUCCS, IUDLS, IUDS, IUES, IUCSR, IUPS"
1,1,1,1,1,1,0,0,1,1,0,1,"IUCCS, IUDLS, IUDS, IUES, IUCSR, IUSS"
1,1,1,1,1,1,0,0,1,1,0,0,"IUCCS, IUDLS, IUDS, IUES, IUCSR"
1,1,1,1,1,1,0,0,1,0,1,1,"IUCCS, IUDLS, IUDS, IUES, IUPS, IUSS"
1,1,1,1,1,1,0,0,1,0,1,0,"IUCCS, IUDLS, IUDS, IUES, IUPS"
1,1,1,1,1,1,0,0,1,0,0,1,"IUCCS, IUDLS, IUDS, IUES, IUSS"
